Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Bmw,528I,2011.0,57500.0,White,2996.0,Automatic,5.0,390000000.0,Petrol,14.0
Toyota,Alphard,2018.0,32500.0,White,2494.0,Automatic,7.0,750000000.0,Petrol,7.0
Suzuki,Ertiga,2020.0,80450.0,Black,1462.0,Manual,7.0,165000000.0,Petrol,5.0
Lexus,Lx,2015.0,67500.0,White,5663.0,Automatic,8.0,990000000.0,Petrol,10.0
Bmw,X5,2022.0,12500.0,Grey,2998.0,Automatic,5.0,925000000.0,Petrol,3.0
Mini,Cooper,2021.0,2500.0,Red,1998.0,Automatic,4.0,775000000.0,Petrol,4.0
Mercedes,Benz,2023.0,2500.0,Black,2925.0,Automatic,5.0,3800000000.0,Diesel,2.0
Porsche,911,2018.0,2500.0,Yellow,2981.0,Automatic,2.0,2900000000.0,Petrol,7.0
Land,Rover,2023.0,2500.0,White,2996.0,Automatic,5.0,4950000000.0,Hybrid,2.0
Land,Rover,2023.0,2500.0,Black,2995.0,Automatic,5.0,3500000000.0,Petrol,2.0
Mitsubishi,Xpander,2023.0,27500.0,Black,1499.0,Automatic,7.0,239000000.0,Petrol,2.0
Hyundai,Santa,2024.0,2500.0,White,1598.0,Automatic,6.0,752000000.0,Hybrid,1.0
Toyota,Fortuner,2020.0,42500.0,Black,2393.0,Automatic,7.0,432000000.0,Diesel,5.0
Mazda,Cx,2018.0,42500.0,Grey,1998.0,Automatic,5.0,235000000.0,Petrol,7.0
Toyota,Kijang,2023.0,37500.0,Black,1998.0,Automatic,7.0,469000000.0,Petrol,2.0
Suzuki,Jimny,2025.0,7500.0,White,1500.0,Automatic,4.0,440000000.0,Petrol,0.0
Mitsubishi,Xforce,2023.0,22500.0,White,1499.0,Automatic,5.0,273000000.0,Petrol,2.0
Toyota,Kijang,2025.0,2500.0,White,1987.0,Automatic,8.0,480000000.0,Petrol,0.0
Hyundai,Creta,2024.0,17500.0,Black,1497.0,Automatic,5.0,306000000.0,Petrol,1.0
Mazda,Cx,2022.0,22500.0,Red,2488.0,Automatic,5.0,429000000.0,Petrol,3.0
Honda,Civic,2021.0,37500.0,Black,1498.0,Automatic,5.0,372000000.0,Petrol,4.0
Peugeot,Rcz,2013.0,12500.0,White,1598.0,Automatic,4.0,380000000.0,Petrol,12.0
Hyundai,Creta,2023.0,17500.0,Grey,1497.0,Automatic,5.0,279000000.0,Petrol,2.0
Kia,Sonet,2021.0,32500.0,Red,1497.0,Automatic,5.0,195000000.0,Petrol,4.0
Hyundai,Stargazer,2023.0,32500.0,Black,1497.0,Automatic,7.0,225000000.0,Petrol,2.0
Toyota,Prius,2023.0,2500.0,Black,1987.0,Automatic,5.0,850000000.0,Hybrid,2.0
Mercedes,Benz,2022.0,22500.0,White,1991.0,Automatic,5.0,782000000.0,Petrol,3.0
Subaru,Crosstrek,2023.0,12500.0,Orange,1995.0,Automatic,5.0,389000000.0,Petrol,2.0
Honda,Mobilio,2018.0,52500.0,Black,1496.0,Automatic,7.0,135000000.0,Petrol,7.0
Mazda,Cx,2017.0,62500.0,White,1998.0,Automatic,5.0,205000000.0,Petrol,8.0
Toyota,Veloz,2022.0,27500.0,White,1496.0,Automatic,7.0,219000000.0,Petrol,3.0
Chery,Omoda,2023.0,12500.0,Grey,1498.0,Automatic,5.0,265000000.0,Petrol,2.0
Suzuki,Ertiga,2023.0,22500.0,Black,1462.0,Automatic,7.0,210000000.0,Hybrid,2.0
Wuling,Cortez,2022.0,42500.0,Silver,1451.0,Automatic,7.0,160000000.0,Petrol,3.0
Mazda,3,2019.0,32500.0,Black,1998.0,Automatic,5.0,337000000.0,Petrol,6.0
Mini,Countryman,2011.0,37500.0,Red,1598.0,Automatic,5.0,334000000.0,Petrol,14.0
Nissan,Grand,2013.0,92500.0,White,1498.0,Automatic,7.0,95000000.0,Petrol,12.0
Toyota,Veloz,2022.0,37500.0,White,1496.0,Automatic,7.0,220000000.0,Petrol,3.0
