URL,Merk,Model,Harga,Tahun Produksi,Jarak Tempuh,Warna,ABS/EBD,Aspiration,Assembled,Auto parking,Aux,Bluetooth,Boot Space (litres),CD,CO2 Emission,Cruise control,Curtain Airbags,Direct Injection,Doors,Engine CC,Engine start,Front Airbags,Front Brakes,Front Rim (inches),Front Suspension,Front Thread,Front Tyre,Fuel Consumption (L/100km),Fuel Tank (litres),Fuel Type,Gear Type,Height (mm),Immobilizer,Kerb Weight (kg),Length (mm),Number of Gears,Other,Parking sensor,Peak Power (hp),Peak Torque (Nm),Radio,Rear Brakes,Rear Rim (inches),Rear Suspension,Rear Thread,Rear Tyre,Seat Capacity,Seat belts,Side Airbags,Stability control,Steering Turn,Steering Type,Top Speed (km/h),Transmission,USB,Wheel Base (mm),Width (mm),Error
https://www.carmudi.co.id/en/for-sale/toyota-avanza-veloz-dki-jakarta-cilandak/18022420,Toyota,Avanza Veloz,165000000,2019,72500,Silver,ABS,Naturally Aspirated,,,,,,CD Player,,,,Electronic Fuel Injection (EFI),5,1496,Starter Button,Airbag - Passenger,Discs,R15,MacPherson Strut with Coil Spring,1425,185 / 65 R15,,45,Petrol,4-speed Automatic,1695,,,4200,4,,,104,136,Radio - Analogue,Drums,R15,4 Link Lateral Rod with Coil Spring,1435,185 / 65 R15,7,Seatbelt - Pretensioners 1st Row (Front),,,,"Rack & Pinion, Electric Power Steering & Tilt Stee",,Automatic,Audio - Aux Input USB Socket,2655,1660,
https://www.carmudi.co.id/en/for-sale/mazda-biante-skyactiv-g-dki-jakarta-tanjung-barat/18022575,Mazda,Biante Skyactiv G,125000000,2013,97500,White,,Naturally Aspirated,Officially Imported,,,,,,,,,Direct Injection,5,1997,,,Ventilated Discs,16,MacPherson strut,1530,205/60 R16,,60,Petrol,6-speed automatic,1835,,1664,4715,6,,,151,190,,Solid discs,16,Multi-link,1515,205/60 R16,7,,,,5.7,Electro Hydraulic Power Assist Steering,,Automatic,,2850,1770,
https://www.carmudi.co.id/en/for-sale/toyota-prius-gen-3-dki-jakarta-kebayoran-baru/18022769,Toyota,Prius Gen 3,190000000,2009,87500,White,ABS,Naturally Aspirated,,,,,,,,Cruise Control,,,5,1797,,Airbag - Passenger,Ventilated Discs,15,Macpherson strut,1525,195/65,,45,Petrol,,1480,,,4460,,,,73,142,,Discs,15,Torsion beam,1520,195/65,5,,,,,,,Automatic,,2700,1745,
https://www.carmudi.co.id/en/for-sale/honda-cr-v-dki-jakarta-cilandak/18022767,Honda,Cr V,89000000,2007,197500,Black,,Naturally Aspirated,,,Audio - Aux Input Socket (MP3/CD/Cassette),,,CD Player,,,,Fuel Injection,5,1997,,Airbag - Passenger,Ventilated Discs,17,MacPherson Strut,1565,225/ 65 R17,,58,Petrol,5 speed,1680,,1505,4530,5,,,150,190,,Drums,17,Reactive Link Double-Wishbone,1565,225/ 65 R17,5,Seatbelt - Pretensioners 1st Row (Front),,,11,Rack and pinion with power assist,,Automatic,,2620,1820,
https://www.carmudi.co.id/en/for-sale/toyota-kijang-innova-v-dki-jakarta-pesanggarahan/18022576,Toyota,Kijang Innova V,91000000,2006,182500,Black,ABS,Naturally Aspirated,,,,,,CD Player,,,,Electronic Fuel Injection (EFI),5,1998,,,Ventilated Discs,15,Double wishbone with coil spring and stabilizer,1510,205/65 R15,,55,Petrol,"4-speed automatic, Super ECT",1745,,1555,4555,4,Audio - Controls on Steering Column,Park Distance Control - Rear,136,182,,Drums,15,4 Link with coil spring and lateral rod,1510,205/65 R15,8,,,,,Rack and Pinion,,Automatic,,2750,1770,
https://www.carmudi.co.id/en/for-sale/toyota-kijang-innova-v-dki-jakarta-cilandak/18022413,Toyota,Kijang Innova V,206000000,2016,127500,Grey,ABS,Naturally Aspirated,,,,Bluetooth,,,,,,,5,1998,,Airbag - Passenger,Ventilated Discs,16,Double wishbone with coil spring and stabilizer,1540,205/65 R16,,,Petrol,6-Speed A/T with Sport Sequential Switchmatic,1795,Engine Immobiliser,,4735,6,,,139,183,,Drums,16,4 Link with coil spring and lateral rod,1540,205/65 R16,8,,,,,,,Automatic,Audio - Aux Input USB Socket,2750,1830,
https://www.carmudi.co.id/en/for-sale/mitsubishi-pajero-sport-dakar-4x2-dki-jakarta-mampang-prapatan/18022418,Mitsubishi,Pajero Sport Dakar 4X2,375000000,2017,67500,Silver,ABS,Turbocharged,,,,Bluetooth,,CD Player,,,,Direct Injection,5,2442,Starter Button,Airbag - Passenger,Ventilated Discs,18,"Double Wishbone type, Coil Spring",,265/60 R 18,,68,Diesel,8-speed Automatic,1805,Engine Immobiliser,2030,4785,8,Audio - Controls on Steering Column,,181,430,Radio - Analogue,Ventilated Discs,18,"3 link type Rigid Axle, coil spring",,265/60 R 18,7,Seatbelt - Pretensioners 1st Row (Front),,,11.2,Rack and Pinion,,Automatic,Audio - Aux Input USB Socket,2800,1815,
https://www.carmudi.co.id/en/for-sale/toyota-voxy-premium-color-dki-jakarta-kebayoran-baru/18022274,Toyota,Voxy Premium Color,502000000,2023,17500,White,ABS,Naturally Aspirated,,,,,,,,Cruise Control,Airbags - Head for 1st Row,Electronic Fuel Injection (EFI),5,1986,,,Ventilated Discs,17,MacPherson Strut,,205/55 R17,,52,Petrol,,1855,,,4695,,,,170,202,,Ventilated Discs,17,Torsion Beam,,205/55 R17,7,,,Electronic Stability Control,,,,Automatic,Audio - Aux Input USB Socket,2850,1730,
https://www.carmudi.co.id/en/for-sale/mercedes-benz-e300-avantgarde-amg-dki-jakarta-kebayoran-baru/18022277,Mercedes,Benz E300 Avantgarde Amg,219000000,2011,117500,Brown,ABS,Naturally Aspirated,,,,Bluetooth,540,CD Player,217,,Airbags - Head for 1st Row,,4,2996,,,,17,,1600,245/45 R 17,9.3,80,Petrol,7G-TRONIC,1448,Engine Immobiliser,1735,4868,7,,,231,300,Radio - Analogue,,17,,1604,245/45 R 17,5,,,Electronic Stability Control,11.3,,247,Automatic,,2874,2071,
https://www.carmudi.co.id/en/for-sale/mitsubishi-grandis-dki-jakarta-kebayoran-lama/18022279,Mitsubishi,Grandis,76500000,2005,117500,Silver,ABS,Naturally Aspirated,Officially Imported,,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,,,,,,MPI,5,2378,,Airbag - Passenger,Ventilated Discs,16,McPherson Strut with Coil Spring,1550,215/60R16,,65,Petrol,INVECS-II 4 A/T with Sport Mode,1655,Engine Immobiliser,1680,4765,4,,,165,217,Radio - Analogue,Solid Drum in Disc,16,Semi Trailing Arm with Coil Spring,1555,215/60R16,7,,,,5.5,Rack & Pinion,,Automatic,Audio - Aux Input USB Socket,2830,1795,
